# myths.tsv -- claims made by Mac cleaning software, and what is actually true.
# Columns: claim, verdict, explanation, source
#
# This table is the reason the project exists. Every row is something a
# commercial cleaner sells and this tool deliberately refuses to do.

Run maintenance scripts (periodic daily/weekly/monthly)	IMPOSSIBLE	The periodic system was removed from macOS. /etc/periodic, /usr/sbin/periodic and /etc/defaults/periodic.conf no longer exist, so any product still advertising this button cannot be running it. Even when it existed, only the temp-file cleanup still did anything on a modern Mac.	Verify on your own machine: ls /etc/periodic
Free up RAM / purge inactive memory	COUNTERPRODUCTIVE	purge is a developer tool for producing a cold cache before a benchmark. It discards the unified buffer cache that macOS deliberately filled, so the following minute is slower, not faster. The number worth watching is memory pressure, not free RAM: green means memory is not your problem however little shows as free.	https://trymainspring.com/blog/purge-command-mac
Delete system and user log files	HARMFUL	logd rotates and size-caps the Unified Log itself. Those files are the evidence you need to diagnose the problem that made you install a cleaner, including XProtect scan records and crash history. Howard Oakley: a housekeeping app that deletes them is "malicious, and proof that the app's developers don't understand how macOS works".	https://eclecticlight.co/2025/01/28/please-dont-delete-your-logs/
Free up purgeable space	MISLEADING	The free space macOS reports already includes purgeable space. Reclaiming it moves a number that was already counted in your favour. macOS has a dedicated subsystem for this, CacheDelete (the deleted daemon), which evicts caches automatically under real disk pressure.	https://eclecticlight.co/2023/09/22/will-flushing-caches-free-up-disk-space/
Clear all application caches	MOSTLY POINTLESS	A cache is a stored computation. Deleting one costs CPU, battery, network and latency to rebuild, in exchange for space macOS would have reclaimed on its own under pressure. Worth doing to troubleshoot a specific misbehaving app; not worth doing as routine maintenance.	https://eclecticlight.co/2023/05/03/safe-mode-caches-and-cachedelete/
Strip unused architectures from universal binaries	NOT WORTH IT	Measured on a real app: 228 KB saved from 17.2 MB, about 1.3 percent. It modifies signed application bundles, can break helper tools and frameworks, and the next update restores everything you removed.	https://eclecticlight.co/2020/07/30/instant-weight-loss-how-to-strip-universal-apps/
Remove unused language files (.lproj)	NOT WORTH IT	Trivial savings on any modern SSD, modifies signed bundles, returns on every app update, and can break applications that enumerate their own localizations.	https://eclecticlight.co/2025/01/26/last-week-on-my-mac-can-we-make-cleaning-up-our-macs-simpler/
Repair disk permissions	OBSOLETE	Apple removed system-wide permission repair in OS X 10.11. Only diskutil resetUserPermissions remains, and it touches nothing outside your home directory.	https://support.apple.com/en-us/102471
Reindex Spotlight to speed up your Mac	DIAGNOSTIC ONLY	mdutil -E erases the index and forces a rebuild costing hours of CPU, during which search is degraded. It is a fix for demonstrably broken search, not a performance tune-up.	https://eclecticlight.co/2024/11/19/when-and-how-to-rebuild-spotlight-indexes/
Delete broken preference files	RISKY	cfprefsd holds preferences in memory and writes them back. Deleting plists behind its back loses settings and can resurrect stale values. Cleaners routinely misidentify valid preferences as broken.	https://eclecticlight.co/2018/06/26/hidden-caches-in-macos-where-your-private-data-gets-stored/
Clean your Mac to protect against malware	NOT ANTIVIRUS	Deleting caches and preferences is unrelated to malware defence. Independent testing of a leading cleaner in 2025 found it missed WaveBrowser and left parts of AdWind installed. Use XProtect, which is built in, plus a real anti-malware tool if you need one.	https://www.macworld.com/article/352922/cleanmymac-x-review-macos.html
